appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
6030,"STAR WARS™ Jedi Knight II - Jedi Outcast™",game,9.99,"2009-09-16 00:00:00",89,0,1,6030,Action
6270,"Ducati World Championship",game,4.99,"2007-09-21 00:00:00",35,0,1,6270,Racing
12600,"Midnight Outlaw: 6 Hours to SunUp",game,9.99,"2008-07-29 00:00:00",-1,0,0,12600,Racing
15210,"Silent Hunter® III",game,9.99,"2008-06-13 00:00:00",90,0,1,15210,Simulation
16000,"Discovery! A Seek and Find Adventure",game,9.99,"2008-07-29 00:00:00",-1,0,0,16000,Casual
19500,"Eternity's Child",game,4.99,"2008-07-31 00:00:00",-1,0,0,19500,Adventure
19500,"Eternity's Child",game,4.99,"2008-07-31 00:00:00",-1,0,0,19500,Indie
33100,"Alien Shooter",game,4.99,"2009-05-27 00:00:00",-1,0,0,33100,Action
33100,"Alien Shooter",game,4.99,"2009-05-27 00:00:00",-1,0,0,33100,Indie
33100,"Alien Shooter",game,4.99,"2009-05-27 00:00:00",-1,0,0,33100,RPG
34920,"Razor2: Hidden Skies",game,9.99,"2010-07-19 00:00:00",61,0,0,34920,Action
34920,"Razor2: Hidden Skies",game,9.99,"2010-07-19 00:00:00",61,0,0,34920,Casual
34920,"Razor2: Hidden Skies",game,9.99,"2010-07-19 00:00:00",61,0,0,34920,Indie
36100,"Tradewinds Classics",game,4.99,"2009-07-17 00:00:00",-1,0,0,36100,Casual
39510,"Gothic II: Gold Edition",game,9.99,"1970-01-01 00:00:00",79,0,0,39510,Action
39510,"Gothic II: Gold Edition",game,9.99,"1970-01-01 00:00:00",79,0,0,39510,RPG
39530,"Painkiller: Black Edition",game,9.99,"2007-01-24 00:00:00",81,17,1,39530,Action
40950,"Stronghold HD",game,5.99,"2013-10-21 00:00:00",81,0,1,40950,Simulation
40950,"Stronghold HD",game,5.99,"2013-10-21 00:00:00",81,0,1,40950,Strategy
46520,"Wasteland Angel",game,9.99,"2011-09-01 00:00:00",-1,0,0,46520,Action
46520,"Wasteland Angel",game,9.99,"2011-09-01 00:00:00",-1,0,0,46520,Indie
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,Casual
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,Indie
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,Strategy
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,Casual
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,Indie
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,Strategy
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,Action
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,Indie
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,Strategy
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,Adventure
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,Indie
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,Action
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,Indie
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,Strategy
224300,"Legacy of Kain: Defiance",game,6.99,"2012-12-06 00:00:00",70,17,0,224300,Action
224300,"Legacy of Kain: Defiance",game,6.99,"2012-12-06 00:00:00",70,17,0,224300,Adventure
240360,"Dragon's Lair 2: Time Warp",game,9.99,"2013-10-24 00:00:00",-1,0,0,240360,Adventure
240360,"Dragon's Lair 2: Time Warp",game,9.99,"2013-10-24 00:00:00",-1,0,0,240360,Casual
244910,Homesick,game,14.99,"2015-05-28 00:00:00",72,0,0,244910,Adventure
244910,Homesick,game,14.99,"2015-05-28 00:00:00",72,0,0,244910,Indie
247120,"Portal 2 Sixense Perceptual Pack",game,0,"2013-09-20 00:00:00",-1,0,0,247120,Action
247120,"Portal 2 Sixense Perceptual Pack",game,0,"2013-09-20 00:00:00",-1,0,0,247120,Adventure
254960,"Silent Storm Gold Edition",game,9.99,"2013-10-02 00:00:00",83,0,0,254960,Action
254960,"Silent Storm Gold Edition",game,9.99,"2013-10-02 00:00:00",83,0,0,254960,RPG
254960,"Silent Storm Gold Edition",game,9.99,"2013-10-02 00:00:00",83,0,0,254960,Strategy
259810,"Home Sheep Home 2",game,9.99,"2014-02-17 00:00:00",-1,0,0,259810,Action
259810,"Home Sheep Home 2",game,9.99,"2014-02-17 00:00:00",-1,0,0,259810,Adventure
259810,"Home Sheep Home 2",game,9.99,"2014-02-17 00:00:00",-1,0,0,259810,Casual
259810,"Home Sheep Home 2",game,9.99,"2014-02-17 00:00:00",-1,0,0,259810,Indie
270910,"Worms World Party Remastered",game,14.99,"2015-07-16 00:00:00",-1,0,1,270910,Action
270910,"Worms World Party Remastered",game,14.99,"2015-07-16 00:00:00",-1,0,1,270910,Indie
270910,"Worms World Party Remastered",game,14.99,"2015-07-16 00:00:00",-1,0,1,270910,Strategy
276360,"Riding Star",game,3.99,"2014-03-27 00:00:00",-1,0,0,276360,Casual
280560,"Danmaku Unlimited 2",game,4.99,"2014-03-18 00:00:00",-1,0,0,280560,Action
280560,"Danmaku Unlimited 2",game,4.99,"2014-03-18 00:00:00",-1,0,0,280560,Indie
284100,"Unclaimed World",game,15.99,"2014-03-26 00:00:00",-1,0,0,284100,"Early Access"
284100,"Unclaimed World",game,15.99,"2014-03-26 00:00:00",-1,0,0,284100,Indie
284100,"Unclaimed World",game,15.99,"2014-03-26 00:00:00",-1,0,0,284100,Simulation
284100,"Unclaimed World",game,15.99,"2014-03-26 00:00:00",-1,0,0,284100,Strategy
286790,"Falcon A.T.",game,6.99,"2016-01-08 00:00:00",-1,0,0,286790,Simulation
288140,"Jack Nicklaus Perfect Golf",game,34.99,"2016-05-03 00:00:00",-1,0,1,288140,Indie
