,app_id,is_multiplayer,price,rating,release_date,required_age,title,ratings2021
0,10,1,9.99,88,2000-11-01 00:00:00,0,Counter-Strike,96
1,30,1,4.99,79,2003-05-01 00:00:00,0,Day of Defeat,87
2,70,1,9.99,96,1998-11-08 00:00:00,0,Half-Life,96
3,80,1,9.99,65,2004-03-01 00:00:00,0,Counter-Strike: Condition Zero,89
4,100,1,9.99,65,2004-03-01 00:00:00,0,Counter-Strike: Condition Zero,89
5,130,0,4.99,71,2001-06-01 00:00:00,0,Half-Life: Blue Shift,90
6,220,0,9.99,96,2004-11-16 00:00:00,0,Half-Life 2,97
7,240,1,19.99,88,2004-11-01 00:00:00,0,Counter-Strike: Source,96
8,300,1,9.99,80,2010-07-12 00:00:00,0,Day of Defeat: Source,89
9,380,0,7.99,87,2006-06-01 00:00:00,0,Half-Life 2: Episode One,95
10,400,0,9.99,90,2007-10-10 00:00:00,0,Portal,98
11,420,0,7.99,90,2007-10-10 00:00:00,0,Half-Life 2: Episode Two,96
12,440,1,0.0,92,2007-10-10 00:00:00,0,Team Fortress 2,94
13,500,1,19.99,89,2008-11-17 00:00:00,0,Left 4 Dead,95
14,550,1,19.99,89,2009-11-16 00:00:00,0,Left 4 Dead 2,97
15,570,1,0.0,90,2013-07-09 00:00:00,0,Dota 2,84
16,620,0,19.99,95,2011-04-18 00:00:00,0,Portal 2,98
17,630,1,0.0,77,2010-07-19 00:00:00,0,Alien Swarm,94
18,730,1,14.99,83,2012-08-21 00:00:00,0,Counter-Strike: Global Offensive,88
19,1002,1,9.99,69,2005-10-12 00:00:00,0,Rag Doll Kung Fu,70
20,1200,1,9.99,81,2006-03-14 00:00:00,0,Red Orchestra: Ostfront 41-45,85
21,1250,1,19.99,72,2009-05-14 00:00:00,17,Killing Floor,96
22,1300,0,9.99,75,2006-05-10 00:00:00,0,SiN Episodes: Emergence,87
23,1309,0,9.99,75,2006-05-10 00:00:00,0,SiN Episodes: Emergence,87
24,1313,0,9.99,75,2006-05-10 00:00:00,0,SiN Episodes: Emergence,88
25,1500,0,9.99,84,2005-07-14 00:00:00,0,Darwinia,72
26,1510,0,9.99,75,2006-08-23 00:00:00,0,Uplink,90
27,1520,1,9.99,84,2006-09-29 00:00:00,0,DEFCON,85
28,1530,1,9.99,76,2008-09-19 00:00:00,0,Multiwinia,82
29,1600,1,14.99,82,2006-02-07 00:00:00,0,Dangerous Waters,77
30,1610,1,9.99,79,2006-02-07 00:00:00,0,Space Empires IV Deluxe,84
31,1630,1,6.49,80,2006-07-06 00:00:00,0,Disciples II: Rise of the Elves ,83
32,1640,1,6.49,84,2006-07-06 00:00:00,0,Disciples II: Gallean's Return,79
33,1670,1,4.99,56,2006-07-26 00:00:00,0,Iron Warriors: T - 72 Tank Command ,61
34,1690,1,14.99,68,2006-10-16 00:00:00,0,Space Empires V,69
35,1700,0,4.99,77,2007-04-03 00:00:00,0,Arx Fatalis,87
36,1900,1,4.99,73,2006-04-01 00:00:00,0,Earth 2160,69
37,1930,1,9.99,65,2009-04-30 00:00:00,17,Two Worlds Epic Edition,73
38,2100,1,9.99,72,2006-10-25 00:00:00,17,Dark Messiah of Might & Magic,91
39,2130,1,9.99,72,2006-10-25 00:00:00,17,Dark Messiah of Might & Magic,91
40,2210,1,19.99,81,2011-08-04 00:00:00,17,Quake IV,86
41,2300,1,4.99,83,2007-08-03 00:00:00,0,DOOM II,94
42,2310,1,9.99,94,2007-08-03 00:00:00,0,QUAKE,95
43,2350,1,19.99,69,2007-08-03 00:00:00,0,QUAKE III: Team Arena,81
44,2400,1,9.99,76,2006-07-11 00:00:00,0,The Ship: Murder Party,83
45,2450,1,4.99,73,2010-10-29 00:00:00,0,Bloody Good Time,77
46,2500,0,6.99,74,2006-05-08 00:00:00,17,Shadowgrounds,80
47,2520,0,4.99,69,2006-12-19 00:00:00,0,Gumboy - Crazy Adventures™,52
48,2525,0,4.99,69,2006-12-19 00:00:00,0,Gumboy - Crazy Adventures™,52
49,2570,0,0.0,61,2007-06-29 00:00:00,0,Vigil: Blood Bitterness™,16
50,2590,0,4.99,59,2007-11-07 00:00:00,17,Alpha Prime,60
51,2600,0,19.99,80,2007-03-22 00:00:00,17,Vampire: The Masquerade - Bloodlines,94
52,2610,0,19.99,76,2006-10-13 00:00:00,17,GUN™,89
53,2620,1,19.99,91,2006-10-13 00:00:00,0,Call of Duty®,94
54,2630,1,19.99,86,2006-10-13 00:00:00,0,Call of Duty® 2,91
55,2640,1,19.99,87,2006-10-13 00:00:00,0,Call of Duty: United Offensive,87
56,2700,0,19.99,81,2008-03-12 00:00:00,0,RollerCoaster Tycoon® 3: Platinum,89
57,2710,1,2.99,82,2008-03-12 00:00:00,0,Act of War: Direct Action,89
58,2780,1,7.99,74,2008-03-12 00:00:00,0,ARMA: Combat Operations,68
59,2800,0,4.99,72,2006-07-21 00:00:00,0,X2: The Threat,82
60,2810,0,9.99,71,2006-07-21 00:00:00,0,X3: Reunion,72
61,2820,0,15.99,73,2008-10-16 00:00:00,0,X3: Terran Conflict,85
62,2840,0,4.99,67,2010-10-08 00:00:00,0,X: Beyond the Frontier,75
63,2920,1,9.99,84,2006-10-26 00:00:00,0,Sub Command,75
64,2990,0,9.99,76,2006-12-21 00:00:00,0,FlatOut 2™,95
65,3010,1,4.99,82,2006-08-24 00:00:00,0,Xpand Rally,78
66,3020,1,9.99,72,2007-11-08 00:00:00,17,Call of Juarez™,82
67,3130,0,4.99,77,2009-11-01 00:00:00,0,Men of War: Red Tide,86
68,3170,0,9.99,82,2009-11-19 00:00:00,0,King's Bounty: Armored Princess,91
69,3200,1,9.99,81,2007-01-24 00:00:00,17,Painkiller: Black Edition,-1
70,3230,1,4.99,57,2007-08-06 00:00:00,0,Genesis Rising,27
71,3260,0,4.99,69,2007-08-29 00:00:00,0,Safecracker: The Ultimate Puzzle Adventure,55
72,3270,1,4.99,65,2007-10-30 00:00:00,17,Painkiller Overdose,72
73,3470,0,4.99,82,2007-01-04 00:00:00,0,Bookworm Adventures Deluxe,-1
74,3540,0,4.99,76,2008-10-15 00:00:00,0,Peggle™ Nights,95
75,3560,0,4.99,78,2008-11-18 00:00:00,0,Bejeweled Twist,82
76,3590,0,4.99,87,2009-05-05 00:00:00,0,Plants vs. Zombies GOTY Edition,96
77,3620,0,4.99,78,2009-09-15 00:00:00,0,Zuma's Revenge!,95
78,3630,0,4.99,79,2009-07-30 00:00:00,0,Bookworm™ Adventures Volume 2,-1
79,3700,0,9.99,76,2009-07-16 00:00:00,0,Sniper Elite,77
80,3710,1,7.99,55,2009-03-26 00:00:00,0,Judge Dredd: Dredd vs. Death,87
81,3720,0,9.99,75,2009-06-22 00:00:00,0,Evil Genius,95
82,3800,0,9.99,70,2006-09-14 00:00:00,0,Advent Rising,80
83,3810,0,9.99,65,2006-09-14 00:00:00,17,BloodRayne,78
84,3820,0,9.99,67,2006-09-14 00:00:00,17,BloodRayne 2,69
85,3830,0,9.99,87,2006-10-11 00:00:00,0,Psychonauts,96
86,3900,1,19.99,94,2006-10-25 00:00:00,0,Sid Meier's Civilization® IV,92
87,3910,1,4.99,90,2006-10-25 00:00:00,0,Sid Meier's Civilization® III Complete,90
88,3920,0,9.99,88,2005-07-11 00:00:00,0,Sid Meier's Pirates!,94
89,3960,1,4.99,67,2006-10-25 00:00:00,0,Shattered Union,50
90,3980,0,9.99,67,2007-04-06 00:00:00,0,CivCity: Rome,72
91,3990,0,4.99,84,2007-04-06 00:00:00,0,Civilization IV®: Warlords,91
92,4300,0,9.99,80,2006-11-07 00:00:00,0,RoboBlitz,76
93,4420,0,9.99,62,2007-03-20 00:00:00,0,Silverfall,57
94,4500,1,19.99,82,2007-03-20 00:00:00,17,S.T.A.L.K.E.R.: Shadow of Chernobyl,95
95,4520,1,9.99,80,2007-07-17 00:00:00,0,Full Spectrum Warrior,64
96,4530,1,9.99,70,2007-07-17 00:00:00,0,Full Spectrum Warrior: Ten Hammers,67
97,4540,1,14.99,77,2007-07-17 00:00:00,0,Titan Quest,-1
98,4550,0,14.99,80,2007-07-17 00:00:00,0,Titan Quest - Immortal Throne,-1
99,4560,1,19.99,93,2007-07-17 00:00:00,17,Company of Heroes,93
100,4570,1,12.99,86,2007-08-07 00:00:00,17,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",95
101,4580,1,12.99,87,2007-08-07 00:00:00,17,"Warhammer® 40,000: Dawn of War® - Dark Crusade",96
102,4700,1,19.99,88,2007-11-27 00:00:00,0,Medieval II: Total War™,95
103,4720,0,14.95,78,2012-10-29 00:00:00,17,Condemned: Criminal Origins,86
104,4760,1,9.99,92,2007-08-28 00:00:00,0,Rome: Total War™ - Collection,94
105,4770,1,4.99,79,2007-08-28 00:00:00,0,Rome: Total War™ - Alexander,73
106,4800,1,14.99,65,2006-11-22 00:00:00,0,Heroes of Annihilated Empires,89
107,4850,1,4.99,60,2010-09-02 00:00:00,0,Cossacks: Back to War,88
108,4870,0,4.99,74,2011-08-26 00:00:00,0,Cossacks: Art of War,82
109,4880,0,4.99,74,2011-08-26 00:00:00,0,Cossacks: European Wars,71
110,4890,1,4.99,69,2011-08-26 00:00:00,0,Cossacks II: Battle for Europe,73
111,4920,1,9.99,80,2012-10-30 00:00:00,0,Natural Selection 2,85
112,6000,0,9.99,78,2009-07-08 00:00:00,0,STAR WARS™ Republic Commando™,95
113,6020,1,9.99,81,2009-09-16 00:00:00,0,STAR WARS™ Jedi Knight - Jedi Academy™,95
114,6030,1,9.99,89,2009-09-16 00:00:00,0,STAR WARS™ Jedi Knight II - Jedi Outcast™,91
115,6060,0,9.99,78,2009-07-08 00:00:00,0,STAR WARS™ Battlefront™ II,93
116,6080,0,9.99,70,2009-07-08 00:00:00,0,Thrillville®: Off the Rails™,92
117,6090,0,5.99,78,2009-07-08 00:00:00,0,Armed and Dangerous®,90
118,6120,0,9.99,67,2010-10-25 00:00:00,17,Shank,90
119,6200,0,4.99,81,2006-12-21 00:00:00,0,Ghost Master®,88
120,6220,1,7.49,72,2007-02-02 00:00:00,0,FlatOut,92
121,6250,1,4.99,70,2007-03-13 00:00:00,0,Making History: The Calm & the Storm,79
122,6270,1,4.99,35,2007-09-21 00:00:00,0,Ducati World Championship,40
123,6300,0,19.99,75,2007-01-12 00:00:00,0,Dreamfall: The Longest Journey,85
124,6310,0,9.99,91,2007-05-01 00:00:00,0,The Longest Journey,90
125,6370,1,0.0,79,2011-10-28 00:00:00,0,Bloodline Champions,85
126,6400,1,9.99,68,2007-03-27 00:00:00,0,Joint Task Force,86
127,6420,1,9.99,77,2007-07-03 00:00:00,0,Nexus - The Jupiter Incident,84
128,6510,1,14.99,66,2007-06-26 00:00:00,0,Lost Planet™: Extreme Condition,77
129,6550,0,19.99,66,2007-06-12 00:00:00,0,Devil May Cry® 3 Special Edition,58
130,6830,1,3.99,87,2007-03-15 00:00:00,0,Commandos 2: Men of Courage,84
131,6840,1,3.99,72,2007-03-15 00:00:00,0,Commandos 3: Destination Berlin,61
132,6850,0,6.99,87,2007-03-15 00:00:00,0,Hitman 2: Silent Assassin,83
133,6860,0,8.99,82,2007-03-15 00:00:00,17,Hitman: Blood Money,93
134,6870,0,6.99,76,2007-03-15 00:00:00,0,Battlestations: Midway,74
135,6880,0,6.99,75,2007-03-15 00:00:00,17,Just Cause,66
136,6900,0,6.99,73,2007-03-15 00:00:00,17,Hitman: Codename 47,71
137,6910,1,6.99,90,2007-03-29 00:00:00,0,Deus Ex: Game of the Year Edition,94
138,6920,0,6.99,80,2007-03-29 00:00:00,0,Deus Ex: Invisible War,58
139,6980,0,8.99,85,2007-03-29 00:00:00,0,Thief: Deadly Shadows,82
140,7000,0,6.99,82,2007-03-29 00:00:00,0,Tomb Raider: Legend,88
141,7010,1,5.99,76,2007-03-29 00:00:00,0,Project: Snowblind,73
142,7020,1,9.99,69,2007-03-29 00:00:00,0,Rogue Trooper,94
143,7110,0,14.99,81,2007-02-27 00:00:00,0,Jade Empire™: Special Edition,73
144,7200,1,29.99,80,2008-04-16 00:00:00,0,Trackmania United Forever Star Edition,93
145,7210,0,9.99,74,2007-03-14 00:00:00,0,"Runaway, A Road Adventure",73
146,7510,0,9.99,54,2009-04-30 00:00:00,17,X-Blades,58
147,7520,1,19.99,76,2011-02-03 00:00:00,17,Two Worlds II,59
148,7600,1,9.99,77,2007-05-04 00:00:00,0,Sid Meier's Railroads!,68
149,7610,1,9.99,80,2007-05-04 00:00:00,0,Railroad Tycoon 3,77
150,7620,0,4.99,89,2007-05-04 00:00:00,0,Railroad Tycoon II Platinum,87
151,7670,0,19.99,96,2007-08-21 00:00:00,17,BioShock™,94
152,7770,1,4.99,65,2008-09-04 00:00:00,0,X-COM: Enforcer,53
153,7830,1,4.99,80,2009-05-06 00:00:00,0,Men of War™,88
154,7840,0,2.99,53,2009-05-06 00:00:00,0,Death Track®: Resurrection,57
155,7860,1,4.99,63,2009-05-20 00:00:00,0,NecroVision,69
156,7940,1,19.99,92,2007-11-12 00:00:00,17,Call of Duty® 4: Modern Warfare®,92
157,8000,0,8.99,83,2007-06-05 00:00:00,0,Tomb Raider: Anniversary,82
158,8080,1,6.99,67,2007-12-13 00:00:00,17,Kane and Lynch: Dead Men™,66
159,8100,0,5.99,58,2008-02-08 00:00:00,17,Conflict: Denied Ops,48
160,8140,0,8.99,80,2008-11-21 00:00:00,0,Tomb Raider: Underworld,75
161,8170,1,8.99,74,2009-05-13 00:00:00,0,Battlestations Pacific,68
162,8190,0,14.99,84,2010-03-23 00:00:00,17,Just Cause 2,90
163,8310,0,9.99,68,2008-06-17 00:00:00,0,Bone: Out From Boneville,51
164,8320,0,9.99,76,2008-06-17 00:00:00,0,Bone: The Great Cow Race,60
165,8340,0,19.99,82,2008-12-18 00:00:00,0,Strong Bad's Cool Game for Attractive People: Season 1,92
166,8350,0,19.99,82,2008-12-18 00:00:00,0,Strong Bad's Cool Game for Attractive People: Season 1,75
167,8360,0,19.99,82,2008-12-18 00:00:00,0,Strong Bad's Cool Game for Attractive People: Season 1,69
168,8370,0,19.99,82,2008-12-18 00:00:00,0,Strong Bad's Cool Game for Attractive People: Season 1,74
169,8380,0,19.99,82,2008-12-18 00:00:00,0,Strong Bad's Cool Game for Attractive People: Season 1,76
170,8400,0,3.99,76,2007-06-18 00:00:00,0,Geometry Wars: Retro Evolved,90
171,8500,1,19.99,88,2010-12-15 00:00:00,0,EVE Online,76
172,8600,1,3.99,83,2007-10-15 00:00:00,0,RACE 07,88
