app_id,title,price,release_date,rating,required_age,is_multiplayer
10,Counter-Strike,9.99,"2000-11-01 00:00:00",88,0,1
20,"Team Fortress Classic",4.99,"1999-04-01 00:00:00",-1,0,1
30,"Day of Defeat",4.99,"2003-05-01 00:00:00",79,0,1
40,"Deathmatch Classic",4.99,"2001-06-01 00:00:00",-1,0,1
50,"Half-Life: Opposing Force",4.99,"1999-11-01 00:00:00",-1,0,1
60,Ricochet,4.99,"2000-11-01 00:00:00",-1,0,1
70,Half-Life,9.99,"1998-11-08 00:00:00",96,0,1
80,"Counter-Strike: Condition Zero",9.99,"2004-03-01 00:00:00",65,0,1
100,"Counter-Strike: Condition Zero",9.99,"2004-03-01 00:00:00",65,0,1
130,"Half-Life: Blue Shift",4.99,"2001-06-01 00:00:00",71,0,0
220,"Half-Life 2",9.99,"2004-11-16 00:00:00",96,0,0
240,"Counter-Strike: Source",19.99,"2004-11-01 00:00:00",88,0,1
280,"Half-Life: Source",9.99,"2004-06-01 00:00:00",-1,0,0
300,"Day of Defeat: Source",9.99,"2010-07-12 00:00:00",80,0,1
320,"Half-Life 2: Deathmatch",4.99,"2004-11-01 00:00:00",-1,0,1
340,"Half-Life 2: Lost Coast",0,"2005-10-27 00:00:00",-1,0,0
360,"Half-Life Deathmatch: Source",9.99,"2006-05-01 00:00:00",-1,0,1
380,"Half-Life 2: Episode One",7.99,"2006-06-01 00:00:00",87,0,0
400,Portal,9.99,"2007-10-10 00:00:00",90,0,0
420,"Half-Life 2: Episode Two",7.99,"2007-10-10 00:00:00",90,0,0
440,"Team Fortress 2",0,"2007-10-10 00:00:00",92,0,1
500,"Left 4 Dead",19.99,"2008-11-17 00:00:00",89,0,1
550,"Left 4 Dead 2",19.99,"2009-11-16 00:00:00",89,0,1
570,"Dota 2",0,"2013-07-09 00:00:00",90,0,1
620,"Portal 2",19.99,"2011-04-18 00:00:00",95,0,0
630,"Alien Swarm",0,"2010-07-19 00:00:00",77,0,1
659,"Portal 2",19.99,"2011-04-18 00:00:00",95,0,0
730,"Counter-Strike: Global Offensive",14.99,"2012-08-21 00:00:00",83,0,1
1002,"Rag Doll Kung Fu",9.99,"2005-10-12 00:00:00",69,0,1
1200,"Red Orchestra: Ostfront 41-45",9.99,"2006-03-14 00:00:00",81,0,1
1250,"Killing Floor",19.99,"2009-05-14 00:00:00",72,17,1
1300,"SiN Episodes: Emergence",9.99,"2006-05-10 00:00:00",75,0,0
1309,"SiN Episodes: Emergence",9.99,"2006-05-10 00:00:00",75,0,0
1313,"SiN Episodes: Emergence",9.99,"2006-05-10 00:00:00",75,0,0
1500,Darwinia,9.99,"2005-07-14 00:00:00",84,0,0
1510,Uplink,9.99,"2006-08-23 00:00:00",75,0,0
1520,DEFCON,9.99,"2006-09-29 00:00:00",84,0,1
1530,Multiwinia,9.99,"2008-09-19 00:00:00",76,0,1
1600,"Dangerous Waters",14.99,"2006-02-07 00:00:00",82,0,1
1610,"Space Empires IV Deluxe",9.99,"2006-02-07 00:00:00",79,0,1
1620,"Jagged Alliance 2 Gold",19.99,"2006-07-06 00:00:00",-1,0,0
1630,"Disciples II: Rise of the Elves ",6.49,"2006-07-06 00:00:00",80,0,1
1640,"Disciples II: Gallean's Return",6.49,"2006-07-06 00:00:00",84,0,1
1670,"Iron Warriors: T - 72 Tank Command ",4.99,"2006-07-26 00:00:00",56,0,1
1690,"Space Empires V",14.99,"2006-10-16 00:00:00",68,0,1
1700,"Arx Fatalis",4.99,"2007-04-03 00:00:00",77,0,0
1840,"Source Filmmaker",0,"2012-07-10 00:00:00",-1,0,0
1900,"Earth 2160",4.99,"2006-04-01 00:00:00",73,0,1
1930,"Two Worlds Epic Edition",9.99,"2009-04-30 00:00:00",65,17,1
2100,"Dark Messiah of Might & Magic",9.99,"2006-10-25 00:00:00",72,17,1
2130,"Dark Messiah of Might & Magic",9.99,"2006-10-25 00:00:00",72,17,1
2200,"Quake III Arena",19.99,"2007-08-03 00:00:00",-1,0,1
2210,"Quake IV",19.99,"2011-08-04 00:00:00",81,17,1
2270,"Wolfenstein 3D",4.99,"2007-08-03 00:00:00",-1,0,0
2280,"Ultimate Doom",4.99,"2007-08-03 00:00:00",-1,0,0
2290,"Final DOOM",4.99,"2007-08-03 00:00:00",-1,0,0
2300,"DOOM II",4.99,"2007-08-03 00:00:00",83,0,1
2310,QUAKE,9.99,"2007-08-03 00:00:00",94,0,1
2320,"QUAKE II",9.99,"2007-08-03 00:00:00",-1,0,1
2330,"QUAKE II Mission Pack: The Reckoning",4.99,"2007-08-03 00:00:00",-1,0,1
2340,"QUAKE II Mission Pack: Ground Zero",4.99,"2007-08-03 00:00:00",-1,0,1
2350,"QUAKE III: Team Arena",19.99,"2007-08-03 00:00:00",69,0,1
2360,"HeXen: Beyond Heretic",4.99,"2007-08-03 00:00:00",-1,0,0
2370,"HeXen: Deathkings of the Dark Citadel",4.99,"2007-08-03 00:00:00",-1,0,0
2390,"Heretic: Shadow of the Serpent Riders",4.99,"2007-08-03 00:00:00",-1,0,1
2400,"The Ship: Murder Party",9.99,"2006-07-11 00:00:00",76,0,1
2420,"The Ship: Single Player",0,"2006-11-20 00:00:00",-1,0,0
2450,"Bloody Good Time",4.99,"2010-10-29 00:00:00",73,0,1
2500,Shadowgrounds,6.99,"2006-05-08 00:00:00",74,17,0
2520,"Gumboy - Crazy Adventures™",4.99,"2006-12-19 00:00:00",69,0,0
2525,"Gumboy - Crazy Adventures™",4.99,"2006-12-19 00:00:00",69,0,0
2540,"RIP - Trilogy™",4.99,"2007-06-01 00:00:00",-1,0,1
2545,"RIP - Trilogy™",4.99,"2007-06-01 00:00:00",-1,0,1
2550,"RIP - Trilogy™",4.99,"2007-06-01 00:00:00",-1,0,1
2570,"Vigil: Blood Bitterness™",0,"2007-06-29 00:00:00",61,0,0
2590,"Alpha Prime",4.99,"2007-11-07 00:00:00",59,17,0
2600,"Vampire: The Masquerade - Bloodlines",19.99,"2007-03-22 00:00:00",80,17,0
2610,GUN™,19.99,"2006-10-13 00:00:00",76,17,0
2620,"Call of Duty®",19.99,"2006-10-13 00:00:00",91,0,1
2630,"Call of Duty® 2",19.99,"2006-10-13 00:00:00",86,0,1
2640,"Call of Duty: United Offensive",19.99,"2006-10-13 00:00:00",87,0,1
2700,"RollerCoaster Tycoon® 3: Platinum",19.99,"2008-03-12 00:00:00",81,0,0
2710,"Act of War: Direct Action",2.99,"2008-03-12 00:00:00",82,0,1
2720,"ThreadSpace: Hyperbol",9.99,"2007-07-12 00:00:00",-1,0,1
2780,"ARMA: Combat Operations",7.99,"2008-03-12 00:00:00",74,0,1
2800,"X2: The Threat",4.99,"2006-07-21 00:00:00",72,0,0
2810,"X3: Reunion",9.99,"2006-07-21 00:00:00",71,0,0
2820,"X3: Terran Conflict",15.99,"2008-10-16 00:00:00",73,0,0
2840,"X: Beyond the Frontier",4.99,"2010-10-08 00:00:00",67,0,0
2850,"X: Tension",4.99,"2010-10-08 00:00:00",-1,0,0
2870,"X Rebirth",29.99,"2013-11-15 00:00:00",33,0,0
2900,"688(I) Hunter/Killer",9.99,"2006-10-26 00:00:00",-1,0,1
2910,"Fleet Command",9.99,"2006-10-26 00:00:00",-1,0,0
2920,"Sub Command",9.99,"2006-10-26 00:00:00",84,0,1
2990,"FlatOut 2™",9.99,"2006-12-21 00:00:00",76,0,0
3000,"GTI Racing",4.99,"2006-08-24 00:00:00",-1,0,1
3010,"Xpand Rally",4.99,"2006-08-24 00:00:00",82,0,1
3020,"Call of Juarez™",9.99,"2007-11-08 00:00:00",72,17,1
3050,"Xpand Rally Xtreme",4.99,"2008-10-08 00:00:00",-1,0,1
3130,"Men of War: Red Tide",4.99,"2009-11-01 00:00:00",77,0,0
3170,"King's Bounty: Armored Princess",9.99,"2009-11-19 00:00:00",82,0,0
3200,"Painkiller: Black Edition",9.99,"2007-01-24 00:00:00",81,17,1
3230,"Genesis Rising",4.99,"2007-08-06 00:00:00",57,0,1
3260,"Safecracker: The Ultimate Puzzle Adventure",4.99,"2007-08-29 00:00:00",69,0,0
3270,"Painkiller Overdose",4.99,"2007-10-30 00:00:00",65,17,1
3300,"Bejeweled 2 Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3310,"Chuzzle Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3320,"Insaniquarium Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3330,"Zuma Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3340,"AstroPop Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3350,"Bejeweled Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3360,"Big Money! Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3370,"Bookworm Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3380,"Dynomite Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3390,"Feeding Frenzy 2 Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3400,"Hammer Heads Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3410,"Heavy Weapon Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3420,"Iggle Pop Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3430,"Pizza Frenzy Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
3440,"Rocket Mania Deluxe",4.99,"2006-08-30 00:00:00",-1,0,0
