app_id,title,price,release_date,rating,required_age,is_multiplayer,total_positive,total_negative
10,Counter-Strike,9.99,2000-11-01 00:00:00,88,0,1,99862,3212
20,Team Fortress Classic,4.99,1999-04-01 00:00:00,-1,0,1,3255,627
30,Day of Defeat,4.99,2003-05-01 00:00:00,79,0,1,2492,350
40,Deathmatch Classic,4.99,2001-06-01 00:00:00,-1,0,1,1066,263
50,Half-Life: Opposing Force,4.99,1999-11-01 00:00:00,-1,0,1,8401,408
60,Ricochet,4.99,2000-11-01 00:00:00,-1,0,1,2152,563
70,Half-Life,9.99,1998-11-08 00:00:00,96,0,1,44078,1566
80,Counter-Strike: Condition Zero,9.99,2004-03-01 00:00:00,65,0,1,11709,1312
100,Counter-Strike: Condition Zero,9.99,2004-03-01 00:00:00,65,0,1,1079,93
130,Half-Life: Blue Shift,4.99,2001-06-01 00:00:00,71,0,0,6047,611
220,Half-Life 2,9.99,2004-11-16 00:00:00,96,0,0,85484,2340
240,Counter-Strike: Source,19.99,2004-11-01 00:00:00,88,0,1,73342,3037
280,Half-Life: Source,9.99,2004-06-01 00:00:00,-1,0,0,5452,1865
300,Day of Defeat: Source,9.99,2010-07-12 00:00:00,80,0,1,8853,1029
320,Half-Life 2: Deathmatch,4.99,2004-11-01 00:00:00,-1,0,1,5241,668
340,Half-Life 2: Lost Coast,0.0,2005-10-27 00:00:00,-1,0,0,5697,855
360,Half-Life Deathmatch: Source,9.99,2006-05-01 00:00:00,-1,0,1,1653,557
380,Half-Life 2: Episode One,7.99,2006-06-01 00:00:00,87,0,0,11735,578
400,Portal,9.99,2007-10-10 00:00:00,90,0,0,68490,1153
420,Half-Life 2: Episode Two,7.99,2007-10-10 00:00:00,90,0,0,17524,567
440,Team Fortress 2,0.0,2007-10-10 00:00:00,92,0,1,11082,905
500,Left 4 Dead,19.99,2008-11-17 00:00:00,89,0,1,24054,1092
550,Left 4 Dead 2,19.99,2009-11-16 00:00:00,89,0,1,311924,8788
570,Dota 2,0.0,2013-07-09 00:00:00,90,0,1,12464,2137
620,Portal 2,19.99,2011-04-18 00:00:00,95,0,0,186303,2322
630,Alien Swarm,0.0,2010-07-19 00:00:00,77,0,1,311,15
659,Portal 2,19.99,2011-04-18 00:00:00,95,0,0,0,0
730,Counter-Strike: Global Offensive,14.99,2012-08-21 00:00:00,83,0,1,2628691,397731
1002,Rag Doll Kung Fu,9.99,2005-10-12 00:00:00,69,0,1,19,8
1200,Red Orchestra: Ostfront 41-45,9.99,2006-03-14 00:00:00,81,0,1,980,170
1250,Killing Floor,19.99,2009-05-14 00:00:00,72,17,1,33021,1310
1300,SiN Episodes: Emergence,9.99,2006-05-10 00:00:00,75,0,0,388,53
1309,SiN Episodes: Emergence,9.99,2006-05-10 00:00:00,75,0,0,0,0
1313,SiN Episodes: Emergence,9.99,2006-05-10 00:00:00,75,0,0,129,17
1500,Darwinia,9.99,2005-07-14 00:00:00,84,0,0,354,134
1510,Uplink,9.99,2006-08-23 00:00:00,75,0,0,1303,138
1520,DEFCON,9.99,2006-09-29 00:00:00,84,0,1,1964,330
1530,Multiwinia,9.99,2008-09-19 00:00:00,76,0,1,270,56
1600,Dangerous Waters,14.99,2006-02-07 00:00:00,82,0,1,192,57
1610,Space Empires IV Deluxe,9.99,2006-02-07 00:00:00,79,0,1,142,27
1620,Jagged Alliance 2 Gold,19.99,2006-07-06 00:00:00,-1,0,0,0,0
1630,Disciples II: Rise of the Elves ,6.49,2006-07-06 00:00:00,80,0,1,637,122
1640,Disciples II: Gallean's Return,6.49,2006-07-06 00:00:00,84,0,1,691,180
1670,Iron Warriors: T - 72 Tank Command ,4.99,2006-07-26 00:00:00,56,0,1,141,89
1690,Space Empires V,14.99,2006-10-16 00:00:00,68,0,1,222,97
1700,Arx Fatalis,4.99,2007-04-03 00:00:00,77,0,0,946,139
1840,Source Filmmaker,0.0,2012-07-10 00:00:00,-1,0,0,249,22
1900,Earth 2160,4.99,2006-04-01 00:00:00,73,0,1,387,170
1930,Two Worlds Epic Edition,9.99,2009-04-30 00:00:00,65,17,1,1432,506
2100,Dark Messiah of Might & Magic,9.99,2006-10-25 00:00:00,72,17,1,4578,432
2130,Dark Messiah of Might & Magic,9.99,2006-10-25 00:00:00,72,17,1,15,2
2200,Quake III Arena,19.99,2007-08-03 00:00:00,-1,0,1,1894,87
2210,Quake IV,19.99,2011-08-04 00:00:00,81,17,1,1190,194
2270,Wolfenstein 3D,4.99,2007-08-03 00:00:00,-1,0,0,2031,119
2280,Ultimate Doom,4.99,2007-08-03 00:00:00,-1,0,0,7423,335
2290,Final DOOM,4.99,2007-08-03 00:00:00,-1,0,0,728,119
2300,DOOM II,4.99,2007-08-03 00:00:00,83,0,1,3876,238
2310,QUAKE,9.99,2007-08-03 00:00:00,94,0,1,3829,181
2320,QUAKE II,9.99,2007-08-03 00:00:00,-1,0,1,2128,177
2330,QUAKE II Mission Pack: The Reckoning,4.99,2007-08-03 00:00:00,-1,0,1,102,25
2340,QUAKE II Mission Pack: Ground Zero,4.99,2007-08-03 00:00:00,-1,0,1,86,55
2350,QUAKE III: Team Arena,19.99,2007-08-03 00:00:00,69,0,1,133,31
2360,HeXen: Beyond Heretic,4.99,2007-08-03 00:00:00,-1,0,0,357,43
2370,HeXen: Deathkings of the Dark Citadel,4.99,2007-08-03 00:00:00,-1,0,0,87,23
2390,Heretic: Shadow of the Serpent Riders,4.99,2007-08-03 00:00:00,-1,0,1,593,35
2400,The Ship: Murder Party,9.99,2006-07-11 00:00:00,76,0,1,2101,406
2420,The Ship: Single Player,0.0,2006-11-20 00:00:00,-1,0,0,254,126
2450,Bloody Good Time,4.99,2010-10-29 00:00:00,73,0,1,604,179
2500,Shadowgrounds,6.99,2006-05-08 00:00:00,74,17,0,834,202
2520,Gumboy - Crazy Adventures™,4.99,2006-12-19 00:00:00,69,0,0,48,43
2525,Gumboy - Crazy Adventures™,4.99,2006-12-19 00:00:00,69,0,0,2,1
2540,RIP - Trilogy™,4.99,2007-06-01 00:00:00,-1,0,1,149,85
2545,RIP - Trilogy™,4.99,2007-06-01 00:00:00,-1,0,1,0,2
2550,RIP - Trilogy™,4.99,2007-06-01 00:00:00,-1,0,1,1,2
2570,Vigil: Blood Bitterness™,0.0,2007-06-29 00:00:00,61,0,0,18,91
2590,Alpha Prime,4.99,2007-11-07 00:00:00,59,17,0,405,267
2600,Vampire: The Masquerade - Bloodlines,19.99,2007-03-22 00:00:00,80,17,0,7966,451
2610,GUN™,19.99,2006-10-13 00:00:00,76,17,0,936,105
2620,Call of Duty®,19.99,2006-10-13 00:00:00,91,0,1,2475,149
2630,Call of Duty® 2,19.99,2006-10-13 00:00:00,86,0,1,3790,330
2640,Call of Duty: United Offensive,19.99,2006-10-13 00:00:00,87,0,1,789,117
2700,RollerCoaster Tycoon® 3: Platinum,19.99,2008-03-12 00:00:00,81,0,0,3330,382
2710,Act of War: Direct Action,2.99,2008-03-12 00:00:00,82,0,1,294,36
2720,ThreadSpace: Hyperbol,9.99,2007-07-12 00:00:00,-1,0,1,13,1
2780,ARMA: Combat Operations,7.99,2008-03-12 00:00:00,74,0,1,143,66
2800,X2: The Threat,4.99,2006-07-21 00:00:00,72,0,0,224,49
2810,X3: Reunion,9.99,2006-07-21 00:00:00,71,0,0,282,106
2820,X3: Terran Conflict,15.99,2008-10-16 00:00:00,73,0,0,1419,242
2840,X: Beyond the Frontier,4.99,2010-10-08 00:00:00,67,0,0,133,44
2850,X: Tension,4.99,2010-10-08 00:00:00,-1,0,0,44,15
2870,X Rebirth,29.99,2013-11-15 00:00:00,33,0,0,2044,2962
2900,688(I) Hunter/Killer,9.99,2006-10-26 00:00:00,-1,0,1,96,29
2910,Fleet Command,9.99,2006-10-26 00:00:00,-1,0,0,210,41
2920,Sub Command,9.99,2006-10-26 00:00:00,84,0,1,53,17
2990,FlatOut 2™,9.99,2006-12-21 00:00:00,76,0,0,7948,396
3000,GTI Racing,4.99,2006-08-24 00:00:00,-1,0,1,60,12
3010,Xpand Rally,4.99,2006-08-24 00:00:00,82,0,1,192,54
3020,Call of Juarez™,9.99,2007-11-08 00:00:00,72,17,1,1020,223
3050,Xpand Rally Xtreme,4.99,2008-10-08 00:00:00,-1,0,1,117,38
3130,Men of War: Red Tide,4.99,2009-11-01 00:00:00,77,0,0,385,60
