app_id,sum(CGS.total_play_time)
20,211671479
40,21681245
50,115072066
60,11305212
92,31996
211,135336180
280,100896189
320,1483328611
340,97691981
360,26038420
852,4776
1210,8528
1230,8077986
1270,96224
1280,177078503
1320,1249924
1525,4671
1840,55186525
1920,1075616
2200,9556723
2270,3078547
2280,4413524
2290,1902175
2320,13719637
2330,119846
2340,116323
2360,820435
2370,226343
2390,1463178
2420,14326673
2430,1585538
2540,428651
2545,232793
2550,540294
2680,64475
2690,3022351
2720,582675
2760,270531484
2790,393971
2850,1451485
2900,1026937
2910,4785300
2930,878689
3000,4129253
3030,2727
3040,92
3050,591050
3150,171857
3160,1964698
3220,3176713
3300,33465436
3310,17199373
3320,9584294
3330,46584707
3340,4056019
3350,5121259
3360,3846305
3370,17727959
3380,7257355
3390,3654682
3400,1410825
3410,1380101
3420,1199555
3430,868008
3440,2246140
3450,9433091
3460,1658943
3480,122613548
3483,26214
3490,3534195
3500,3305921
3510,4243120
3520,3585706
3530,5927027
3570,2930184
3580,848664
3600,6700170
3610,3245367
3650,5678211
3730,13347881
3970,4404265
4000,10731666438
4100,2078734
4230,18520278
4290,115764
4320,4702524
4400,36332
4410,437855
4460,3818555
4470,1686528
4600,453990
4730,139830
4790,21990
4830,8269823
4900,7382852
6010,13996247
6040,10451777
6100,5439492
6210,1276643
6290,804346
6330,11486806
6340,9125968
6350,6056782
6360,7516594
6520,9586
6570,484150
6600,553852
6800,8574618
6810,2344716
6820,215920
7060,1111529
7220,4123201
7240,8
7250,279685
7260,2838372
7340,364493
7400,717971
7420,100430
7440,760707
7450,2593522
7470,2449370
7500,19664241
7530,798199
7650,41912234
7660,40442068
7730,2197123
7740,275061894
7760,157756909
7780,27615397
7800,2325832
7810,1613999
7850,4299127
7870,6798148
7880,5840964
7900,1284883
7910,1268047
7970,1397640
7980,988517
7990,718867
8010,69258
8040,1116490
8060,4443916
8160,659016
8200,6921518
8210,3877863
8220,2341804
8230,3476047
8240,2880848
8250,2412507
8260,3823480
8270,2746914
8280,2842305
8290,2511176
8300,2658372
8330,482953
8620,802955
8640,113080
8650,71896
